Time;1st motor set speed;2nd motor set speed;3rd motor set speed;1st motor position;2nd motor position;3rd motor position;1st motor velocity;2nd motor velocity;3rd motor velocity;1st motor current;2nd motor current;3rd motor current;
ms;rad/s;rad/s;rad/s;ticks;ticks;ticks;rad/s;rad/s;rad/s;A;A;A;
t;m1setvel;m2setvel;m3setvel;m1pos;m2pos;m3pos;m1vel;m2vel;m3vel;m1cur;m2cur;m3cur;
0.0003;25;25;25;0;0;0;0;0;0;0;0;0;
30.5114;25;25;25;0;0;0;0;0;0;0;0;0;
61.286;25;25;25;0;0;0;0;0;0;0;0;0;
90.7107;25;25;25;0;0;0;0;0;0;0;0;0;
122.256;25;25;25;0;0;0;0;0;0;0;0;0;
152.136;25;25;25;0;0;0;22.6195;22.6195;22.6195;0.102564;0.102564;0.179487;
182.268;25;25;25;0;0;0;22.6195;22.6195;22.6195;0.128205;0.102564;0.128205;
212.912;25;25;25;0;0;0;19.792;22.6195;19.792;0.282051;0.128205;0.128205;
242.97;25;25;25;8;0;0;22.6195;19.792;19.792;0.282051;0.153846;0.205128;
273.311;25;25;25;0;0;0;22.6195;19.792;22.6195;0.282051;0.153846;0.0769231;
304.708;25;25;25;0;0;0;19.792;22.6195;22.6195;0.153846;0.153846;0.205128;
334.935;25;25;25;0;8;0;22.6195;22.6195;22.6195;0.102564;0.179487;0.179487;
365.853;25;25;25;0;0;0;22.6195;22.6195;22.6195;0.128205;0.153846;0.230769;
396.03;25;25;25;7;0;0;19.792;19.792;19.792;0.307692;0.230769;0.205128;
426.314;25;25;25;0;0;0;19.792;22.6195;19.792;0.384615;0.333333;0.435897;
456.716;25;25;25;0;0;0;16.9646;16.9646;19.792;0.153846;0.25641;0.25641;
486.604;25;25;25;0;0;0;19.792;19.792;22.6195;0.102564;0.179487;0.153846;
517.727;25;25;25;0;0;0;22.6195;19.792;22.6195;0.153846;0.179487;0.179487;
548.485;25;25;25;0;0;0;19.792;19.792;19.792;0.0512821;0.128205;0.205128;
578.822;25;25;25;0;0;0;22.6195;19.792;19.792;0.0512821;0.0512821;0.230769;
610.223;25;25;25;0;0;0;22.6195;19.792;22.6195;0.102564;0.025641;0.0769231;
641.464;25;25;25;0;0;0;22.6195;22.6195;22.6195;0.0769231;0.0512821;0.0769231;
671.279;25;25;25;0;0;0;19.792;19.792;22.6195;0.153846;0.102564;0.0769231;
701.437;25;25;25;0;0;0;22.6195;22.6195;19.792;0.0512821;0.102564;0.0769231;
731.125;25;25;25;0;0;0;22.6195;22.6195;25.4469;0.0769231;0.025641;0.25641;
761.966;25;25;25;0;0;0;22.6195;22.6195;25.4469;0.0769231;0.0769231;0.0769231;
793.545;25;25;25;0;0;0;22.6195;22.6195;25.4469;0.0512821;0.025641;0.0769231;
824.191;25;25;25;0;0;0;22.6195;22.6195;19.792;0.205128;0.0512821;0.102564;
854.483;25;25;25;0;0;0;19.792;19.792;22.6195;0.128205;0.0512821;0.0769231;
884.849;25;25;25;0;0;0;19.792;19.792;19.792;0.435897;0.205128;0.153846;
915.991;25;25;25;0;0;0;19.792;19.792;16.9646;0.25641;0.230769;0.128205;
946.147;25;25;25;0;0;0;22.6195;25.4469;22.6195;0.153846;0.153846;0.179487;
975.873;25;25;25;0;0;0;22.6195;19.792;22.6195;0.153846;0.102564;0.128205;
1007.94;25;25;25;0;0;0;19.792;19.792;19.792;0.102564;0.0769231;0.0769231;
1038.95;25;25;25;0;0;0;19.792;19.792;19.792;0.307692;0.230769;0.25641;
1069.58;25;25;25;0;0;0;19.792;19.792;19.792;0.102564;0.230769;0.230769;
1100.82;25;25;25;0;0;0;19.792;22.6195;19.792;0.0769231;0.230769;0.0512821;
1131.2;25;25;25;0;0;0;22.6195;19.792;22.6195;0.102564;0.205128;0.179487;
1161.65;25;25;25;0;0;0;19.792;22.6195;19.792;0.102564;0.0769231;0.179487;
1192.05;25;25;25;0;0;0;19.792;22.6195;22.6195;0.205128;0.102564;0.205128;
1223.03;25;25;25;0;0;0;19.792;19.792;19.792;0.0769231;0.205128;0.153846;
1254.58;25;25;25;0;0;0;19.792;22.6195;22.6195;0.128205;0.230769;0.153846;
1285.36;25;25;25;0;0;0;22.6195;19.792;22.6195;0.0769231;0.128205;0.153846;
1316.08;25;25;25;0;0;0;22.6195;19.792;22.6195;0.025641;0.230769;0.179487;
1346.33;25;25;25;0;0;0;19.792;19.792;19.792;0.307692;0.025641;0.230769;
1376.39;25;25;25;0;0;0;16.9646;22.6195;22.6195;0.282051;0.128205;0.205128;
1407.44;25;25;25;0;0;0;16.9646;19.792;22.6195;0.25641;0.0512821;0.205128;
1437.74;25;25;25;0;8;0;22.6195;22.6195;22.6195;0.205128;0.0512821;0.230769;
1469.15;25;25;25;0;0;0;22.6195;22.6195;22.6195;0.153846;0.0512821;0.102564;
1499.46;25;25;25;0;0;0;22.6195;22.6195;19.792;0.179487;0.025641;0.230769;
1529.12;25;25;25;0;0;7;19.792;22.6195;19.792;0.128205;0.102564;0.282051;
1559.27;25;25;25;0;0;0;22.6195;19.792;19.792;0.179487;0.0769231;0.25641;
1589.74;25;25;25;0;0;0;22.6195;19.792;19.792;0.102564;0.179487;0.25641;
1619.55;25;25;25;0;0;0;19.792;16.9646;19.792;0.128205;0.0769231;0.179487;
1650.09;25;25;25;0;0;0;19.792;22.6195;22.6195;0.205128;0.153846;0.128205;
1680.03;25;25;25;0;0;0;22.6195;22.6195;22.6195;0.102564;0.128205;0.179487;
