Time;Set robot speed along X axis;Set robot speed along Y axis;Set rotational robot velocity;1st motor set speed;2st motor set speed;3st motor set speed;1st motor position;2nd motor position;3rd motor position;1st motor velocity;2nd motor velocity;3rd motor velocity;1st motor current;2nd motor current;3rd motor current;X axis current;Y axis curent;Rotational current;X axis global position;Y axis global position;Angle;Delta X axis local position;Delta Y axis local position;Delta angle;
ms;m/s;m/s;rad/s;rad/s;rad/s;rad/s;ticks;ticks;ticks;rad/s;rad/s;rad/s;A;A;A;A;A;A;pix;pix;deg;mm;mm;deg;
t;xsetspeed;ysetspeed;setvel;m1setvel;m2setvel;m3setvel;m1pos;m2pos;m3pos;m1vel;m2vel;m3vel;m1cur;m2cur;m3cur;xcur;ycur;rotcur;xpos;ypos;ang;dx;dy;dang;
0.0001;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;0;0;0;0;0;0;0;0;0;0;0;0;896.679;820.806;280.269;-0.405216;0.0734129;0.166534;
27.9944;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;0;0;0;0;0;0;0.025641;0.025641;0.025641;0;0;0;896.903;820.806;280.102;0.405428;-0.0722346;-0.166534;
59.0588;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;0;0;0;0;0;0;0.025641;0.025641;0.025641;0;0;0;896.903;820.806;280.102;0;0;0;
91.0871;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;0;0;0;0;0;0;0.025641;0.025641;0.025641;0;0;0;897.126;820.583;280.505;0.47986;0.329099;0.403046;
122.048;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;81;-300;200;5.65487;-31.1018;19.792;0.435897;1.25641;0.846154;0.236718;1.26495;0.00854703;896.679;820.583;280.505;-0.809819;0.15017;3.05176e-05;
154.059;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;123;-475;325;8.4823;-28.2743;22.6195;0.589744;0.846154;0.692308;0.0591795;0.991308;0.145299;896.679;820.806;280.269;-0.0732814;-0.40449;-0.236542;
184.064;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;208;-815;566;8.4823;-28.2743;19.792;0.384615;0.897436;0.615385;0.133154;0.93159;0.0341881;897.126;819.24;280.507;1.33455;2.67908;0.23822;
213.804;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;256;-996;697;8.4823;-31.1018;22.6195;0.461538;0.74359;0.333333;-0.0739744;0.760667;0.017094;896.679;818.121;280.342;-0.441291;2.16973;-0.165466;
245.899;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;344;-1348;949;8.4823;-31.1018;25.4469;0.461538;0.74359;0.435897;-0.0147949;0.794821;0.051282;897.35;817.003;280.339;1.58424;1.80016;-0.00268555;
278.156;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;443;-1708;1183;8.4823;-33.9292;22.6195;0.307692;0.615385;0.512821;0.118359;0.683692;0.0683761;896.903;815.884;280.507;-0.435004;2.1711;0.168091;
309.967;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;502;-1899;1311;11.3097;-33.9292;19.792;0.205128;0.820513;0.589744;0.221923;0.811974;-0.00854701;896.903;814.541;280.102;0.432633;2.42821;-0.404663;
341.976;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;605;-2261;1554;11.3097;-33.9292;22.6195;0.230769;0.384615;0.487179;0.147949;0.495615;0.111111;896.903;813.422;280.264;0.366248;2.02248;0.162018;
373.945;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;720;-2640;1807;11.3097;-31.1018;22.6195;0.0769231;0.487179;0.435897;0.207128;0.495718;0.00854701;896.679;811.633;280.505;0.194674;3.30845;0.241028;
403.903;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;836;-3016;2051;8.4823;-33.9292;22.6195;0.25641;0.384615;0.717949;0.266308;0.581;0.196581;896.679;810.737;280.505;0.299802;1.61674;0;
435.428;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;892;-3196;2167;11.3097;-33.9292;19.792;0.153846;0.538462;0.589744;0.251513;0.606769;0.0683761;896.679;809.619;280.269;0.366385;2.02234;-0.236572;
467.455;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;1020;-3578;2415;11.3097;-33.9292;19.792;0.025641;0.512821;0.384615;0.207128;0.478667;-0.034188;896.679;809.619;280.269;0;0;0;
498.543;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;1137;-3960;2671;11.3097;-33.9292;19.792;0.102564;0.384615;0.384615;0.162744;0.418769;0.034188;896.231;808.052;280.505;-0.285167;2.97946;0.236542;
528.464;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;1194;-4143;2794;8.4823;-28.2743;19.792;0.102564;0.589744;0.487179;0.221923;0.589744;-9.93411e-09;896.455;805.591;280.908;0.871106;2.34395;0.566406;
559.51;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;1312;-4516;3047;8.4823;-33.9292;22.6195;0.179487;0.487179;0.589744;0.236718;0.581103;0.0940171;896.231;804.249;279.863;0.016721;2.50031;-1.04504;
591.504;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;1421;-4897;3302;11.3097;-31.1018;22.6195;0.179487;0.435897;0.512821;0.192333;0.521282;0.0854701;896.231;803.13;280.507;0.374811;2.02091;0.644073;
621.47;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;1543;-5267;3554;11.3097;-31.1018;19.792;0.102564;0.358974;0.384615;0.162744;0.401667;0.042735;896.231;803.13;280.507;0;0;0;
651.424;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;1598;-5460;3688;11.3097;-31.1018;22.6195;0.153846;0.461538;0.358974;0.118359;0.478615;0.017094;896.231;801.564;279.863;0.4929;2.83499;-0.644073;
690.843;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;1712;-5822;3941;11.3097;-33.9292;25.4469;0.128205;0.641026;0.461538;0.192333;0.623949;-0.017094;896.231;800.445;280.507;0.374791;2.0208;0.644073;
726.412;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;1774;-6015;4061;11.3097;-33.9292;22.6195;0.0769231;0.410256;0.512821;0.251513;0.470026;0.0598291;896.231;798.879;280.269;0.512966;2.83143;-0.238281;
756.404;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;1878;-6389;4314;11.3097;-31.1018;22.6195;0.153846;0.512821;0.435897;0.162744;0.538436;0.025641;896.231;795.97;280.029;0.167153;3.31006;-0.641235;
786.379;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;2006;-6752;4556;11.3097;-33.9292;19.792;0.025641;0.384615;0.461538;0.251513;0.418769;0.034188;896.008;794.851;280.102;-0.0449414;2.09552;0.073761;
816.44;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;2120;-7126;4801;11.3097;-31.1018;19.792;0.205128;0.641026;0.615385;0.236718;0.700795;0.0598291;896.008;793.733;279.866;0.35217;2.02498;-0.236542;
847.438;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;2177;-7307;4921;8.4823;-33.9292;22.6195;0.102564;0.538462;0.512821;0.236718;0.564077;0.025641;896.008;793.733;279.866;0;0;0;
878.412;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;2298;-7682;5163;8.4823;-33.9292;19.792;0.102564;0.666667;0.589744;0.281103;0.675205;0.00854701;895.784;792.39;280.432;0.0415698;2.50024;0.565735;
909.415;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;2354;-7867;5286;11.3097;-31.1018;22.6195;0.0769231;0.589744;0.589744;0.295897;0.615359;0.025641;895.784;791.047;280.505;0.449702;2.4251;0.0738525;
941.408;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;2475;-8253;5524;8.4823;-33.9292;22.6195;0.0512821;0.435897;0.769231;0.414256;0.563974;0.128205;895.784;790.153;280.505;0.299781;1.61663;0;
976.094;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;2586;-8633;5773;8.4823;-31.1018;19.792;0.205128;0.461538;0.666667;0.266308;0.598154;0.136752;895.56;788.81;280.67;0.0519679;2.50005;0.164429;
1004.44;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;2694;-9009;6012;8.4823;-33.9292;16.9646;0.230769;0.487179;0.871795;0.369872;0.692103;0.205128;895.56;787.468;280.264;0.439477;2.42686;-0.405426;
1035.41;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;2753;-9182;6128;8.4823;-33.9292;19.792;0.153846;0.820513;0.641026;0.281103;0.811974;-0.00854701;895.784;786.796;280.269;0.62506;1.14006;0.00448608;
1065.4;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;2853;-9547;6376;8.4823;-36.7566;22.6195;0.307692;0.692308;0.384615;0.0443846;0.692308;0;895.784;785.23;280.505;0.524648;2.82929;0.23642;
1096.47;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;2955;-9906;6637;11.3097;-31.1018;25.4469;0.282051;0.74359;0.307692;0.0147949;0.692359;-0.051282;895.56;784.111;280.031;-0.0475282;2.09568;-0.474762;
1127.39;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;3014;-10102;6759;11.3097;-33.9292;19.792;0.102564;0.666667;0.615385;0.295897;0.683744;0.017094;895.56;783.216;280.031;0.286392;1.61916;0;
1159.38;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;3112;-10461;7003;11.3097;-31.1018;19.792;0.230769;0.717949;0.717949;0.281103;0.794795;0.0769231;895.784;782.098;280.505;0.77962;1.94561;0.474854;
1191.38;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;3224;-10819;7241;11.3097;-33.9292;19.792;0.128205;0.769231;0.538462;0.236718;0.735077;-0.034188;895.784;780.531;280.269;0.51297;2.83143;-0.236511;
1222.4;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;3329;-11195;7497;8.4823;-33.9292;19.792;0.410256;0.589744;0.461538;0.0295898;0.683667;0.0940171;895.784;779.412;280.032;0.35805;2.02395;-0.236633;
1252.43;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;3381;-11380;7618;8.4823;-33.9292;22.6195;0.153846;0.538462;0.384615;0.133154;0.538462;-9.93411e-09;895.784;779.412;280.032;0;0;0;
1282.47;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;3495;-11747;7866;11.3097;-31.1018;19.792;0.179487;0.564103;0.435897;0.147949;0.581179;0.017094;895.784;778.294;280.269;0.366383;2.02234;0.236542;
1313.65;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;3602;-12121;8116;8.4823;-31.1018;19.792;0.25641;0.487179;0.435897;0.103564;0.555487;0.0683761;895.56;776.951;280.031;0.0240697;2.50047;-0.238251;
1345.51;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;3661;-12305;8240;11.3097;-33.9292;22.6195;0.0769231;0.641026;0.615385;0.310692;0.658103;0.017094;895.784;775.609;280.269;0.84488;2.35342;0.238251;
1378.29;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;3778;-12678;8490;11.3097;-28.2743;19.792;0.128205;0.74359;0.512821;0.221923;0.709436;-0.034188;895.336;774.49;280.432;-0.437865;2.17053;0.16275;
1408.7;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;3889;-13057;8735;11.3097;-33.9292;19.792;0.0769231;0.461538;0.666667;0.340282;0.555462;0.0940171;895.56;772.924;280.031;0.906664;2.76159;-0.401001;
1440.78;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;4011;-13432;8985;11.3097;-31.1018;22.6195;0.025641;0.435897;0.641026;0.355077;0.512744;0.0769231;895.56;771.581;280.426;0.446349;2.42572;0.39563;
1471.47;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;4072;-13635;9104;8.4823;-31.1018;22.6195;0.0769231;0.384615;0.435897;0.207128;0.427308;0.042735;895.784;770.239;280.269;0.8449;2.35353;-0.157379;
1501.44;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;4184;-14014;9345;11.3097;-31.1018;22.6195;0.0769231;0.410256;0.589744;0.295897;0.495641;0.0854701;895.784;769.344;280.269;0.293122;1.61796;0;
1532.42;0.0173648;0.0984808;0;13.6808;-39.3923;25.7115;4301;-14384;9587;8.4823;-33.9292;22.6195;0.205128;0.384615;0.538462;0.192333;0.504154;0.119658;895.784;768.001;280.269;0.439688;2.42694;9.15527e-05;
