Time;Set robot speed along X axis;Set robot speed along Y axis;Set rotational robot velocity;1st motor set speed;2st motor set speed;3st motor set speed;1st motor position;2nd motor position;3rd motor position;1st motor velocity;2nd motor velocity;3rd motor velocity;1st motor current;2nd motor current;3rd motor current;X axis current;Y axis curent;Rotational current;X axis global position;Y axis global position;Angle;Delta X axis local position;Delta Y axis local position;Delta angle;
ms;m/s;m/s;rad/s;rad/s;rad/s;rad/s;ticks;ticks;ticks;rad/s;rad/s;rad/s;A;A;A;A;A;A;pix;pix;deg;mm;mm;deg;
t;xsetspeed;ysetspeed;setvel;m1setvel;m2setvel;m3setvel;m1pos;m2pos;m3pos;m1vel;m2vel;m3vel;m1cur;m2cur;m3cur;xcur;ycur;rotcur;xpos;ypos;ang;dx;dy;dang;
0.012;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;0;0;0;0;0;0;0;0;0;0;0;0;1171.67;940.736;26.103;-0;0;0;
35.5605;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;10;28;11;0;0;0;0.025641;0.025641;0.025641;0;0;0;1171.67;940.736;26.103;-0;0;0;
67.0351;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;10;28;11;0;0;0;0.025641;0.025641;0.025641;0;0;0;1171.67;940.736;26.103;-0;0;0;
99.2076;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;10;28;11;0;0;0;0.025641;0.025641;0.025641;0;0;0;1171.67;940.736;26.103;-0;0;0;
129.067;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-1027;250;802;-107.442;25.4469;81.9956;2.07692;1.10256;1.07692;1.81977;-1.06841;0.034188;1171.67;940.736;26.103;-0;0;0;
161.254;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-1583;376;1246;-98.9602;22.6195;70.6858;1.74359;0.615385;1.38462;1.80497;-0.53;0.0854701;1171.67;940.736;26.103;0;0;0;
192.39;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-2766;652;2058;-104.615;25.4469;73.5133;1.66667;0.307692;1.51282;1.83456;-0.256462;0.051282;1171.89;939.841;26.3802;1.29009;-1.09953;0.277172;
224.094;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-3943;955;2907;-101.788;25.4469;76.3407;1.69231;0.230769;1.12821;1.62744;-0.341769;-0.111111;1171.67;938.499;27.0223;2.38409;-0.753642;0.642099;
255.021;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-5089;1247;3770;-90.4779;25.4469;79.1681;2.25641;0.461538;1.53846;2.18964;-0.546923;-0.0854701;1171;937.828;27.5754;1.66504;0.524215;0.553154;
285.956;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-5642;1370;4198;-104.615;22.6195;76.3407;1.76923;0.615385;1.30769;1.77538;-0.564154;0.0512821;1170.32;936.261;28.8544;3.11638;-0.306538;1.27892;
316.95;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-6837;1649;5036;-110.27;25.4469;70.6858;1.35897;0.307692;1.69231;1.76059;-0.0942307;0.213675;1169.65;934.919;29.1359;2.75587;-0.121757;0.281542;
346.921;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-8031;1956;5908;-98.9602;25.4469;79.1681;1.53846;0.102564;0.923077;1.42031;-0.273333;-0.17094;1169.65;932.905;29.4124;3.22271;-1.81682;0.276455;
378.949;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-8593;2106;6337;-104.615;25.4469;76.3407;1.61538;0.205128;0.897436;1.4499;-0.375897;-0.17094;1168.76;930.891;29.6887;4.02987;-0.401387;0.276352;
409.015;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-9792;2410;7234;-98.9602;25.4469;79.1681;1.84615;0.435897;1.51282;1.93813;-0.401744;0.034188;1168.09;928.206;30.3306;4.88147;-1.42492;0.641926;
439.045;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-10946;2685;8105;-104.615;28.2743;76.3407;1.23077;0.282051;1;1.28715;-0.264974;0.017094;1167.19;925.074;29.9714;5.80807;-1.4479;-0.359205;
470.8;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-11568;2839;8535;-104.615;25.4469;79.1681;1.23077;0.282051;0.948718;1.25756;-0.282051;0;1166.3;921.718;29.6923;6.17235;-1.62332;-0.279099;
501.977;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-12733;3141;9416;-104.615;25.4469;76.3407;1.30769;0.230769;1.07692;1.37592;-0.230769;3.97364e-08;1165.63;918.361;30.0486;5.95602;-2.01819;0.356253;
534.007;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-13927;3411;10296;-110.27;25.4469;73.5133;1.17949;0.512821;0.589744;1.02085;-0.538436;-0.025641;1164.95;915.005;30.6101;5.93567;-2.07629;0.56151;
565.003;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-15135;3688;11183;-104.615;22.6195;73.5133;0.948718;0.358974;1.41026;1.36113;-0.0857436;0.273504;1164.95;915.005;30.6101;0;0;0;
595.994;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-15720;3827;11627;-101.788;25.4469;76.3407;1.02564;0.410256;1.12821;1.24277;-0.239487;0.17094;1164.73;911.201;30.0486;6.25526;-3.1428;-0.561512;
652.771;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-16937;4123;12484;-104.615;28.2743;76.3407;0.974359;0.307692;1.05128;1.16879;-0.179615;0.128205;1164.06;907.397;29.6953;6.68232;-2.38885;-0.353292;
689.992;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-18738;4538;13818;-104.615;19.792;79.1681;1.23077;0.794872;0.538462;1.02085;-0.760718;0.034188;1162.94;904.041;30.0486;6.36836;-1.30495;0.353294;
721.949;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-19927;4801;14720;-101.788;22.6195;73.5133;1.25641;0.820513;1.02564;1.31674;-0.624128;0.196581;1161.38;901.356;30.3306;5.71322;-0.00307369;0.282032;
751.727;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-21118;5071;15615;-104.615;25.4469;79.1681;1.28205;0.692308;0.897436;1.25756;-0.589846;0.102564;1160.03;898;30.0432;6.57464;-0.948117;-0.287451;
783.049;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-22310;5376;16504;-101.788;28.2743;76.3407;1.51282;0.0512821;0.846154;1.36113;-0.256205;-0.205128;1160.03;895.091;29.9732;4.62926;-2.66982;-0.0699482;
813.084;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-22889;5526;16932;-104.615;25.4469;73.5133;1.12821;0.153846;1.25641;1.37592;-0.0599231;0.0940171;1159.36;891.511;30.0486;6.31144;-2.22406;0.0753651;
844.891;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-24077;5827;17814;-104.615;22.6195;76.3407;1.46154;0.25641;0.923077;1.37592;-0.350333;-0.0940171;1157.35;885.47;30.6101;5.64766;-0.948917;0.561367;
874.984;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-25229;6119;18709;-101.788;25.4469;81.9956;1.58974;0.205128;0.948718;1.46469;-0.350282;-0.145299;1156.23;882.785;30.3266;5.29737;-0.713344;-0.283466;
905.944;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-25833;6269;19138;-101.788;25.4469;76.3407;1.35897;0.461538;1.12821;1.4351;-0.384692;0.0769231;1155.33;879.876;30.0487;5.45048;-1.25;-0.27795;
936.02;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-26983;6556;20023;-101.788;25.4469;81.9956;1.5641;0.410256;1;1.47949;-0.461487;-0.051282;1154.89;876.968;29.9744;5.0406;-1.95639;-0.0742779;
967.763;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-28185;6851;20862;-98.9602;25.4469;73.5133;1.02564;0.179487;1.33333;1.36113;-0.0172564;0.162393;1154.89;876.968;29.9744;0;0;0;
999.584;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-29400;7166;21743;-104.615;25.4469;76.3407;0.846154;0.025641;1.02564;1.08003;0.0426667;0.0683761;1154.44;872.94;30.3266;6.80269;-3.02522;0.352251;
1031.64;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-29985;7321;22199;-101.788;25.4469;79.1681;1.4359;0.153846;1.15385;1.49428;-0.196538;-0.0427351;1153.99;870.031;30.0486;5.03787;-1.96281;-0.278042;
1062.89;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-31186;7633;23066;-101.788;28.2743;79.1681;1.20513;0.153846;0.794872;1.154;-0.239231;-0.0854701;1153.1;867.57;30.3267;4.7348;-0.861359;0.27808;
1095.18;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-32372;7941;23951;-101.788;31.1018;81.9956;1.05128;0.230769;1.25641;1.33154;-0.0856154;0.145299;1152.2;864.885;30.3266;5.08953;-1.06886;-4.19617e-05;
1126.36;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-33586;8241;24847;-107.442;28.2743;79.1681;1.15385;0.25641;0.717949;1.08003;-0.31618;-0.0598291;1151.08;861.752;30.4048;6.00555;-1.13698;0.0782089;
1158.15;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-34166;8382;25291;-101.788;22.6195;87.6504;1.12821;0.282051;0.589744;0.991256;-0.367436;-0.0854701;1149.96;858.396;30.2579;6.36344;-1.3284;-0.146988;
1190.17;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-35363;8669;26204;-107.442;25.4469;76.3407;1.10256;0.307692;0.717949;1.05044;-0.333308;-0.025641;1148.4;855.04;30.6101;6.77453;-0.658638;0.352226;
1219.92;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-36538;8956;27103;-101.788;25.4469;81.9956;1.15385;0.384615;0.794872;1.12441;-0.376077;0.00854703;1147.73;852.131;30.0486;5.24437;-1.60651;-0.561491;
1251.17;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-37167;9093;27526;-104.615;25.4469;76.3407;0.820513;0.333333;1.02564;1.06523;-0.154026;0.179487;1147.05;848.551;29.9733;6.31457;-2.21563;-0.0752468;
1281.31;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-38390;9398;28409;-104.615;22.6195;76.3407;0.794872;0.102564;1.25641;1.18359;0.0852821;0.188034;1146.83;844.971;30.0486;5.89933;-2.93691;0.0752926;
1312.98;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-39571;9687;29267;-110.27;25.4469;76.3407;1.07692;0.333333;1;1.19838;-0.247949;0.0854701;1145.49;841.391;30.0487;6.93026;-1.15478;4.00543e-05;
1345.21;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-40759;9955;30160;-104.615;22.6195;73.5133;1.53846;0.615385;0.846154;1.37592;-0.641;-0.025641;1144.37;838.706;30.3306;5.29751;-0.713829;0.281963;
1376.96;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-41341;10092;30619;-101.788;22.6195;76.3407;1.10256;0.589744;1.10256;1.27236;-0.393359;0.196581;1144.37;838.706;30.3306;0;0;0;
1409.34;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-42536;10367;31475;-101.788;25.4469;76.3407;1.38462;0.410256;0.923077;1.33154;-0.427333;-0.017094;1143.25;835.35;30.6829;6.35331;-1.37551;0.352226;
1441.06;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-43753;10664;32338;-107.442;28.2743;76.3407;1.25641;0.179487;1.5641;1.62744;-0.0172564;0.162393;1143.03;831.994;30.3306;5.53;-2.75832;-0.352228;
1473.1;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-44966;10965;33215;-104.615;28.2743;79.1681;1.12821;0.205128;0.923077;1.18359;-0.205128;-1.98682e-08;1142.13;825.058;30.4048;5.23399;-1.63892;0.356163;
1504.93;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-45545;11107;33646;-110.27;25.4469;76.3407;1.48718;0.25641;1.10256;1.49428;-0.299103;-0.0427351;1141.01;822.372;31.0301;5.2884;-0.778441;0.625208;
1534.91;0.289778;-0.0776457;0;-115.911;31.0583;84.8528;-46728;11385;34534;-104.615;22.6195;76.3407;1.61538;0.512821;0.897436;1.4499;-0.581128;-0.0683761;1141.01;822.372;31.0301;0;0;0;
