Time;Set robot speed along X axis;Set robot speed along Y axis;Set rotational robot velocity;1st motor set speed;2st motor set speed;3st motor set speed;1st motor position;2nd motor position;3rd motor position;1st motor velocity;2nd motor velocity;3rd motor velocity;1st motor current;2nd motor current;3rd motor current;X axis current;Y axis curent;Rotational current;X axis global position;Y axis global position;Angle;Delta X axis local position;Delta Y axis local position;Delta angle;
ms;m/s;m/s;rad/s;rad/s;rad/s;rad/s;ticks;ticks;ticks;rad/s;rad/s;rad/s;A;A;A;A;A;A;pix;pix;deg;mm;mm;deg;
t;xsetspeed;ysetspeed;setvel;m1setvel;m2setvel;m3setvel;m1pos;m2pos;m3pos;m1vel;m2vel;m3vel;m1cur;m2cur;m3cur;xcur;ycur;rotcur;xpos;ypos;ang;dx;dy;dang;
0.0083;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;0;0;0;0;0;0;0;0;0;0;0;0;632.43;925.521;100.995;0;0;-0.472183;
35.7323;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;0;-2;-1;0;0;0;0.025641;0.025641;0.025641;0;0;0;632.43;925.521;100.995;0;0;0;
65.5981;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;0;-2;-1;0;0;0;0.025641;0.025641;0.025641;0;0;0;632.654;925.521;101.231;-0.403926;0.0802085;0.236115;
96.6651;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;96;222;-353;16.9646;42.4115;-67.8584;0.205128;1.76923;1.02564;-0.710154;-1.45331;0.316239;632.43;925.745;100.838;0.481761;0.32631;-0.393555;
128.621;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;203;487;-762;19.792;50.8938;-76.3407;0.102564;1.4359;0.871795;-0.562205;-1.2139;0.222222;631.982;925.297;101.62;0.641154;-0.971189;0.781937;
159.633;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;404;1031;-1557;16.9646;45.2389;-65.031;0.153846;1.53846;1.05128;-0.695359;-1.325;0.213675;631.982;924.179;102.248;-0.43605;-2.00858;0.62883;
191.627;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;596;1585;-2310;16.9646;50.8938;-65.031;0.461538;1.05128;1.38462;-1.06523;-1.00859;0.042735;631.759;922.389;102.4;-0.303906;-3.30009;0.151215;
223.675;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;779;2126;-3076;14.1372;48.0664;-67.8584;0.538462;1.07692;1;-0.887692;-0.872;0.205128;632.654;920.599;102.4;-2.31498;-2.85817;-1.52588e-05;
255.695;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;873;2424;-3480;16.9646;50.8938;-67.8584;0.435897;0.74359;1.10256;-0.887692;-0.717974;0.025641;633.549;918.585;102.636;-2.41668;-3.24971;0.236397;
287.633;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;1053;3008;-4274;14.1372;53.7212;-70.6858;0.435897;0.769231;1.10256;-0.887692;-0.735077;0.034188;634.444;917.242;102.636;-2.14688;-2.04625;7.62939e-05;
319.621;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;1240;3582;-5026;14.1372;48.0664;-65.031;0.641026;0.666667;1.30769;-1.12441;-0.666667;0;635.786;915.005;102.636;-3.31015;-3.47057;-6.10352e-05;
349.705;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;1421;4157;-5810;19.792;48.0664;-70.6858;0.512821;0.666667;1.15385;-0.961667;-0.658128;0.00854703;635.786;915.005;102.636;0;0;0;
381.405;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;1508;4437;-6192;16.9646;50.8938;-67.8584;0.794872;0.794872;0.974359;-1.02085;-0.589949;0.205128;636.905;913.439;103.025;-2.65461;-2.33942;0.388916;
413.606;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;1696;5017;-6975;16.9646;53.7212;-73.5133;0.384615;0.923077;1.15385;-0.887692;-0.871846;0.051282;637.129;912.32;102.636;-0.851467;-1.9155;-0.388916;
445.684;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;1881;5591;-7769;14.1372;48.0664;-65.031;0.358974;0.871795;1.20513;-0.902487;-0.863256;0.00854703;638.247;910.754;103.024;-2.6544;-2.33929;0.387695;
476.621;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;2067;6157;-8541;16.9646;50.8938;-70.6858;0.307692;0.897436;1.23077;-0.887692;-0.905974;-0.00854703;639.143;909.188;103.263;-2.26347;-2.42287;0.238968;
508.702;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;2166;6432;-8927;19.792;53.7212;-76.3407;0.564103;0.974359;0.820513;-0.798923;-0.735282;0.239316;639.814;907.845;102.636;-1.74504;-2.13634;-0.626663;
540.315;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;2348;7004;-9732;16.9646;50.8938;-65.031;0.358974;1.05128;0.948718;-0.754538;-0.89759;0.153846;640.037;906.279;103.797;-1.08605;-2.69632;1.16063;
572.23;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;2531;7564;-10503;16.9646;50.8938;-70.6858;0.512821;0.820513;0.923077;-0.828513;-0.683897;0.136752;640.709;904.265;104.278;-2.10973;-3.28069;0.481522;
602.796;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;2726;8150;-11293;16.9646;50.8938;-65.031;0.512821;0.589744;1.10256;-0.932077;-0.589744;0;641.38;903.146;104.662;-1.71543;-1.67562;0.38382;
634.586;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;2813;8428;-11686;16.9646;50.8938;-67.8584;0.384615;0.897436;1.07692;-0.843308;-0.829128;0.0683761;641.604;902.027;105.047;-0.931291;-1.87799;0.384949;
664.838;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;3000;8993;-12436;14.1372;48.0664;-70.6858;0.615385;1.15385;0.948718;-0.902487;-0.880615;0.273504;641.604;902.027;105.047;0;0;0;
696.774;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;3193;9552;-13230;19.792;48.0664;-67.8584;0.384615;1.05128;0.974359;-0.784128;-0.89759;0.153846;642.499;900.237;105.047;-2.4445;-2.74809;7.62939e-06;
727.804;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;3280;9823;-13613;14.1372;48.0664;-65.031;0.384615;0.974359;0.897436;-0.739744;-0.820667;0.153846;643.841;897.329;105.289;-2.05889;-2.84642;0.627235;
758.848;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;3473;10383;-14419;14.1372;48.0664;-70.6858;0.384615;0.948718;0.641026;-0.591795;-0.718179;0.230769;644.513;895.986;105.428;-1.84704;-2.0488;0.13884;
788.699;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;3671;10955;-15223;19.792;50.8938;-70.6858;0.358974;0.948718;0.974359;-0.769333;-0.837718;0.111111;644.96;894.42;104.903;-1.53599;-2.5689;-0.524796;
820.867;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;3849;11531;-16006;14.1372;45.2389;-65.031;0.487179;0.948718;1.12821;-0.932077;-0.846256;0.102564;644.96;894.42;104.903;0;0;0;
852.85;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;3948;11799;-16388;16.9646;45.2389;-67.8584;0.564103;1.02564;0.820513;-0.798923;-0.769487;0.25641;645.407;893.078;105.186;-1.44081;-2.16449;0.282478;
883.982;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;4125;12361;-17158;16.9646;50.8938;-67.8584;0.461538;1;1.17949;-0.946872;-0.906077;0.0940171;645.631;892.406;105.673;-0.729649;-1.07612;0.486977;
913.683;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;4294;12910;-17925;14.1372;48.0664;-65.031;0.461538;0.846154;1.28205;-1.00605;-0.837615;0.00854699;646.079;891.287;105.047;-1.32898;-1.77108;-0.625816;
944.718;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;4390;13200;-18296;14.1372;48.0664;-67.8584;0.410256;1.17949;1.35897;-1.02085;-1.10264;0.0769231;646.974;889.945;105.149;-2.23455;-1.95013;0.102448;
975.689;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;4569;13759;-19086;16.9646;45.2389;-67.8584;0.512821;1.15385;1.05128;-0.902487;-0.948923;0.205128;647.869;888.155;105.149;-2.44944;-2.74382;7.62939e-06;
1007.74;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;4761;14309;-19869;14.1372;50.8938;-67.8584;0.512821;0.717949;0.641026;-0.665769;-0.521564;0.196581;648.092;886.141;105.428;-1.38106;-3.45672;0.278702;
1038.79;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;4949;14895;-20656;14.1372;50.8938;-65.031;0.435897;0.769231;0.820513;-0.724949;-0.641154;0.128205;648.316;884.351;106.162;-1.31091;-3.04388;0.734039;
1068.49;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;5040;15174;-21064;16.9646;50.8938;-70.6858;0.333333;0.948718;1.10256;-0.828513;-0.888949;0.0598291;648.987;882.338;105.67;-2.18878;-3.22835;-0.491745;
1098.67;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;5239;15744;-21839;14.1372;48.0664;-67.8584;0.487179;1.05128;0.717949;-0.695359;-0.778051;0.273504;649.211;881.89;105.918;-0.6215;-0.677684;0.247086;
1129.72;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;5436;16317;-22624;19.792;48.0664;-67.8584;0.282051;0.769231;1;-0.739744;-0.752154;0.017094;650.106;880.547;105.917;-2.26052;-1.92011;-3.8147e-05;
1161.7;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;5527;16591;-22999;16.9646;48.0664;-67.8584;0.410256;0.897436;1.4359;-1.06523;-0.940128;-0.0427351;650.778;879.429;106.3;-1.76263;-1.62589;0.38295;
1192.76;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;5722;17149;-23786;14.1372;48.0664;-73.5133;0.410256;1.02564;1.02564;-0.828513;-0.889026;0.136752;652.12;878.31;106.546;-2.95379;-1.26662;0.245628;
1225.02;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;5916;17704;-24573;16.9646;48.0664;-65.031;0.410256;1.41026;1.10256;-0.872897;-1.17118;0.239316;652.12;878.31;106.546;0;0;0;
1255.9;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;6007;17978;-24947;16.9646;48.0664;-67.8584;0.615385;1.12821;1.28205;-1.09482;-0.974513;0.153846;652.344;876.296;106.925;-1.471;-3.41943;0.379105;
1286.01;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;6196;18553;-25720;16.9646;48.0664;-67.8584;0.538462;0.794872;1.15385;-0.976462;-0.735103;0.0598291;651.896;874.73;106.795;-0.0429808;-2.99276;-0.129814;
1315.68;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;6370;19128;-26503;16.9646;50.8938;-67.8584;0.333333;0.794872;1;-0.769333;-0.75218;0.0427351;652.12;873.164;107.175;-1.24314;-2.62748;0.37999;
1347.71;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;6475;19405;-26880;16.9646;50.8938;-73.5133;0.487179;1.05128;1.10256;-0.917282;-0.906128;0.145299;653.239;871.598;107.556;-2.83099;-2.12233;0.380692;
1379.68;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;6669;19964;-27679;16.9646;45.2389;-70.6858;0.384615;1.25641;0.769231;-0.665769;-0.966103;0.290598;653.91;870.255;107.423;-1.91727;-1.98336;-0.132904;
1409.67;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;6851;20507;-28473;16.9646;48.0664;-70.6858;0.358974;1.02564;0.923077;-0.739744;-0.871949;0.153846;654.357;869.136;107.933;-1.41643;-1.70181;0.509773;
1439.77;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;7038;21080;-29256;16.9646;48.0664;-65.031;0.487179;0.974359;1.33333;-1.05044;-0.931667;0.042735;654.805;868.018;108.181;-1.42383;-1.69576;0.248497;
1470.87;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;7128;21350;-29661;16.9646;48.0664;-70.6858;0.410256;0.820513;1.02564;-0.828513;-0.752205;0.0683761;655.252;866.227;108.181;-1.80853;-2.86745;1.52588e-05;
1502.77;-0.141421;-0.141421;0;20.7055;56.5685;-77.2741;7317;21909;-30443;16.9646;48.0664;-65.031;0.333333;1.17949;0.820513;-0.665769;-0.948949;0.230769;655.476;865.332;108.434;-0.910638;-1.4297;0.252968;
