Time;Set robot speed along X axis;Set robot speed along Y axis;Set rotational robot velocity;1st motor set speed;2st motor set speed;3st motor set speed;1st motor position;2nd motor position;3rd motor position;1st motor velocity;2nd motor velocity;3rd motor velocity;1st motor current;2nd motor current;3rd motor current;X axis current;Y axis curent;Rotational current;X axis global position;Y axis global position;Angle;Delta X axis local position;Delta Y axis local position;Delta angle;
ms;m/s;m/s;rad/s;rad/s;rad/s;rad/s;ticks;ticks;ticks;rad/s;rad/s;rad/s;A;A;A;A;A;A;pix;pix;deg;mm;mm;deg;
t;xsetspeed;ysetspeed;setvel;m1setvel;m2setvel;m3setvel;m1pos;m2pos;m3pos;m1vel;m2vel;m3vel;m1cur;m2cur;m3cur;xcur;ycur;rotcur;xpos;ypos;ang;dx;dy;dang;
0.0135;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;0;0;0;0;0;0;0;0;0;0;0;0;836.266;935.59;42.995;0.882078;-0.25937;-0.00904465;
35.6549;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;3;18;34;0;0;0;0.025641;0.025641;0.025641;0;0;0;836.49;935.814;43.2873;-0.581512;-0.0179897;0.292286;
65.5417;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;3;18;34;0;0;0;0.025641;0.025641;0.025641;0;0;0;836.266;935.59;42.995;0.581412;0.020956;-0.292286;
95.9159;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;3;18;34;0;0;0;0;0;0;0;0;0;836.714;936.037;42.7178;-1.16269;-0.0474613;-0.277206;
127.928;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-316;242;99;-28.2743;22.6195;5.65487;0.974359;1.10256;0.384615;0.784128;-0.931795;0.17094;836.49;935.59;42.1373;0.885861;-0.246137;-0.580456;
158.934;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-492;391;127;-33.9292;25.4469;2.82743;0.564103;0.358974;0.538462;0.63618;-0.247974;0.111111;836.714;934.919;42.7092;0.626857;-1.13907;0.571869;
188.79;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-881;699;190;-36.7566;31.1018;8.4823;0.358974;0;0.102564;0.266308;-0.0853846;-0.0854701;836.714;933.129;42.7092;2.4164;-2.2305;0;
220.884;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-1288;1031;276;-36.7566;22.6195;8.4823;0.0769231;0.153846;0.128205;0.118359;-0.0855385;0.0683761;836.714;931.115;42.1201;2.74419;-2.48132;-0.589062;
252.729;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-1694;1332;362;-33.9292;22.6195;8.4823;0.179487;0.179487;0.230769;0.236718;-0.102641;0.0769231;836.49;929.773;43.004;2.08452;-1.381;0.8839;
284.206;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-1889;1468;399;-36.7566;22.6195;5.65487;0.307692;0.461538;0.128205;0.251513;-0.367615;0.0940171;836.49;928.654;42.4229;1.51725;-1.38655;-0.58112;
314.821;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-2264;1760;479;-33.9292;25.4469;8.4823;0.384615;0.307692;0.179487;0.325487;-0.273538;0.034188;836.714;927.535;42.7179;1.23072;-1.6969;0.295044;
344.815;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-2667;2062;553;-33.9292;28.2743;5.65487;0.128205;0.25641;0.307692;0.251513;-0.111256;0.145299;837.385;925.521;42.4229;1.89754;-3.40769;-0.295044;
375.628;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-2851;2208;589;-33.9292;25.4469;8.4823;0.435897;0.25641;0.307692;0.429051;-0.213718;0.0427351;837.385;924.179;43.2873;1.79539;-1.69113;0.864361;
408.019;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-3250;2508;662;-36.7566;28.2743;5.65487;0.25641;0.128205;0.230769;0.281103;-0.0940513;0.034188;837.609;922.836;42.7091;1.53287;-1.97538;-0.57811;
439.793;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-3640;2816;734;-33.9292;25.4469;5.65487;0.307692;0.230769;0.153846;0.266308;-0.205154;0.025641;837.609;921.718;42.7177;1.51009;-1.39434;0.00859833;
471.348;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-4033;3111;812;-31.1018;25.4469;5.65487;0.25641;0.0769231;0.179487;0.251513;-0.0769231;-4.96705e-09;837.609;921.718;42.7177;0;0;0;
501.35;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-4234;3264;852;-36.7566;25.4469;5.65487;0.461538;0.333333;0.205128;0.384667;-0.307718;0.025641;837.385;920.599;42.4229;1.79505;-1.08255;-0.294849;
533.601;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-4616;3554;927;-36.7566;25.4469;8.4823;0.384615;0.307692;0.25641;0.369872;-0.247923;0.0598291;837.385;918.809;42.4229;2.42759;-2.21848;0;
565.524;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-5004;3863;994;-39.5841;28.2743;5.65487;0.358974;0.153846;0.282051;0.369872;-0.128231;0.025641;838.056;917.242;42.7177;1.27594;-2.85968;0.294853;
596.623;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-5191;4022;1032;-28.2743;25.4469;5.65487;0.666667;0.153846;0.282051;0.54741;-0.230692;-0.0769231;838.28;916.124;42.4229;1.23936;-1.69047;-0.294876;
628.618;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-5582;4314;1095;-36.7566;25.4469;5.65487;0.384615;0.153846;0.512821;0.517821;-0.0599231;0.0940171;838.727;914.781;42.4227;1.26516;-2.27176;-0.000171661;
659.512;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-5976;4621;1158;-33.9292;28.2743;5.65487;0.384615;0.179487;0.25641;0.369872;-0.16241;0.017094;838.504;913.215;42.995;2.38533;-1.66108;0.572266;
689.634;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-6372;4930;1231;-36.7566;28.2743;5.65487;0.358974;0.205128;0.25641;0.355077;-0.170974;0.034188;838.504;913.215;42.995;0;0;0;
720.018;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-6560;5080;1266;-33.9292;25.4469;8.4823;0.282051;0.179487;0.25641;0.310692;-0.128256;0.0512821;839.175;910.306;42.4229;0.683824;-2.29853;0.302799;
752.32;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-6948;5375;1339;-31.1018;25.4469;5.65487;0.589744;0.358974;0.410256;0.577;-0.299205;0.0598291;839.175;909.188;43.004;1.50311;-1.40187;0.581097;
783.855;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-7333;5665;1415;-33.9292;22.6195;8.4823;0.205128;0.384615;0.230769;0.251513;-0.248;0.136752;839.175;907.621;42.4229;2.12415;-1.94117;-0.581097;
814.854;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-7538;5809;1452;-36.7566;25.4469;5.65487;0.0769231;0.384615;0.205128;0.162744;-0.213846;0.17094;838.951;906.279;42.1364;2.10519;-1.34928;-0.286461;
846.019;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-7931;6106;1536;-33.9292;25.4469;8.4823;0.435897;0.307692;0.0769231;0.295897;-0.324769;-0.017094;839.622;905.16;42.1372;0.695277;-2.29509;0.000762939;
876.935;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-8312;6396;1614;-33.9292;25.4469;5.65487;0.25641;0.205128;0.153846;0.236718;-0.170974;0.034188;839.399;904.041;42.4349;1.79475;-1.08285;0.297657;
908.635;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-8714;6700;1701;-36.7566;28.2743;5.65487;0.384615;0.282051;0.0769231;0.266308;-0.29059;-0.00854701;839.399;904.041;42.4349;0;0;0;
939.996;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-8909;6855;1743;-33.9292;25.4469;5.65487;0.25641;0.153846;0.128205;0.221923;-0.145308;0.00854701;839.846;901.804;42.4349;2.47817;-3.3816;0;
972.076;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-9304;7138;1827;-33.9292;25.4469;5.65487;0.153846;0.435897;0.230769;0.221923;-0.265128;0.17094;839.846;900.461;42.1365;1.82882;-1.65459;-0.298386;
1001.7;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-9699;7431;1895;-33.9292;31.1018;5.65487;0.333333;0.358974;0.230769;0.325487;-0.27359;0.0854701;839.846;899.343;42.7178;1.51009;-1.39434;0.581295;
1032.16;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-9890;7572;1936;-33.9292;25.4469;5.65487;0.358974;0.282051;0.128205;0.281103;-0.264974;0.017094;840.07;898;42.1373;1.55268;-1.96014;-0.580437;
1063.06;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-10293;7884;2019;-33.9292;28.2743;8.4823;0.333333;0.205128;0.179487;0.295897;-0.188051;0.017094;840.294;896.434;42.4348;1.84587;-2.24555;0.297462;
1094.77;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-10684;8187;2098;-31.1018;28.2743;8.4823;0.435897;0.230769;0.307692;0.429051;-0.196615;0.034188;840.07;895.091;41.5536;2.11881;-1.3278;-0.881142;
1125.26;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-10884;8328;2132;-39.5841;25.4469;8.4823;0.128205;0.282051;0.307692;0.251513;-0.128359;0.153846;840.518;893.301;41.5461;1.91493;-2.79741;-0.00758362;
1156.35;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-11281;8630;2212;-39.5841;22.6195;8.4823;0.179487;0.205128;0.179487;0.207128;-0.136821;0.0683761;840.518;891.735;41.2609;2.16307;-1.89769;-0.285126;
1188.02;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-11664;8931;2295;-36.7566;28.2743;8.4823;0.282051;0.333333;0.230769;0.295897;-0.23941;0.0940171;840.518;890.393;42.1379;1.82887;-1.65471;0.876957;
1219.74;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-12049;9224;2367;-33.9292;25.4469;5.65487;0.307692;0.205128;0.179487;0.281103;-0.179513;0.025641;840.965;889.05;42.1373;1.27631;-2.26544;-0.000591278;
1250.21;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-12247;9377;2407;-33.9292;28.2743;8.4823;0.461538;0.230769;0.205128;0.384667;-0.239308;-0.00854701;841.189;887.931;42.4348;1.23909;-1.6908;0.297531;
1281.44;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-12638;9678;2478;-36.7566;25.4469;5.65487;0.410256;0.153846;0.282051;0.399462;-0.145308;0.00854702;841.189;886.589;41.5661;1.84537;-1.63645;-0.868774;
1313.22;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-13026;9985;2557;-33.9292;25.4469;5.65487;0.282051;0.205128;0.230769;0.295897;-0.153897;0.051282;841.189;886.589;41.5661;0;0;0;
1344.71;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-13215;10132;2595;-31.1018;28.2743;5.65487;0.538462;0.205128;0.230769;0.443846;-0.239282;-0.034188;841.189;884.799;41.8346;2.45016;-2.19336;0.268581;
1375.87;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-13612;10442;2664;-33.9292;28.2743;5.65487;0.410256;0.128205;0.25641;0.384667;-0.136744;-0.008547;841.636;883.456;41.5661;1.29891;-2.25267;-0.268581;
1406.93;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-14005;10750;2736;-33.9292;25.4469;5.65487;0.358974;0.25641;0.179487;0.310692;-0.230795;0.025641;841.636;881.89;41.8512;2.14333;-1.9198;0.285107;
1436.94;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-14400;11057;2811;-31.1018;28.2743;5.65487;0.307692;0.179487;0.333333;0.369872;-0.11118;0.0683761;842.308;880.771;41.5461;0.718918;-2.2878;-0.305103;
1466.98;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-14603;11220;2846;-36.7566;28.2743;5.65487;0.435897;0.0769231;0.358974;0.458641;-0.0769231;0;842.531;879.429;41.5667;1.57195;-1.94443;0.0205956;
1497.93;0.0707107;-0.0707107;0;-38.637;28.2843;10.3528;-14986;11525;2914;-33.9292;25.4469;5.65487;0.333333;0.25641;0.307692;0.369872;-0.179564;0.0769231;842.531;878.086;41.566;1.84537;-1.63645;-0.000617981;
