Time;Set robot speed along X axis;Set robot speed along Y axis;Set rotational robot velocity;1st motor set speed;2st motor set speed;3st motor set speed;1st motor position;2nd motor position;3rd motor position;1st motor velocity;2nd motor velocity;3rd motor velocity;1st motor current;2nd motor current;3rd motor current;X axis current;Y axis curent;Rotational current;X axis global position;Y axis global position;Angle;Delta X axis local position;Delta Y axis local position;Delta angle;
ms;m/s;m/s;rad/s;rad/s;rad/s;rad/s;ticks;ticks;ticks;rad/s;rad/s;rad/s;A;A;A;A;A;A;pix;pix;deg;mm;mm;deg;
t;xsetspeed;ysetspeed;setvel;m1setvel;m2setvel;m3setvel;m1pos;m2pos;m3pos;m1vel;m2vel;m3vel;m1cur;m2cur;m3cur;xcur;ycur;rotcur;xpos;ypos;ang;dx;dy;dang;
0.0001;3.57746e-09;-0.3;0;-60;120;-60;0;0;0;0;0;0;0;0;0;0;0;0;857.746;906.502;90.6053;0;0;0;
36.0267;3.57746e-09;-0.3;0;-60;120;-60;-13;-9;5;0;0;0;0.025641;0.025641;0.025641;0;0;0;857.746;906.502;90.6053;0;0;0;
66.0163;3.57746e-09;-0.3;0;-60;120;-60;-13;-9;5;0;0;0;0.025641;0.025641;0.025641;0;0;0;857.746;906.502;90.6053;0;0;0;
95.9822;3.57746e-09;-0.3;0;-60;120;-60;-13;-9;5;0;0;0;0.025641;0.025641;0.025641;0;0;0;857.522;906.279;90.2017;0.410363;-0.412297;-0.403542;
127.003;3.57746e-09;-0.3;0;-60;120;-60;-551;1097;-577;-50.8938;118.752;-56.5487;1.48718;1.35897;0.871795;0.355077;-1.69197;-0.333333;858.194;905.384;91.2104;-1.2699;-1.61783;1.00868;
159.017;3.57746e-09;-0.3;0;-60;120;-60;-1160;2324;-1189;-50.8938;110.27;-56.5487;0.948718;1.41026;0.974359;-0.0147949;-1.58103;-0.17094;858.194;905.384;91.2104;0;0;0;
189.151;3.57746e-09;-0.3;0;-60;120;-60;-1764;3565;-1762;-56.5487;104.615;-50.8938;0.512821;1.41026;0.820513;-0.177538;-1.38464;0.025641;856.851;902.923;91.4176;2.35825;-4.58145;0.207245;
219.953;3.57746e-09;-0.3;0;-60;120;-60;-2079;4201;-2081;-48.0664;110.27;-53.7212;0.717949;1.35897;0.74359;-0.0147949;-1.39313;-0.0341881;857.075;900.909;89.3976;-0.372894;-3.70379;-2.02003;
251.927;3.57746e-09;-0.3;0;-60;120;-60;-2687;5392;-2697;-53.7212;101.788;-59.3761;0.692308;2.12821;0.692308;0;-1.88059;0.247863;856.851;898.895;89.8011;0.424655;-3.69811;0.403442;
283.986;3.57746e-09;-0.3;0;-60;120;-60;-3304;6647;-3319;-53.7212;115.925;-53.7212;0.74359;1.23077;0.461538;0.162744;-1.22223;0.00854702;856.627;897.552;90;0.411812;-2.46645;0.198936;
314.009;3.57746e-09;-0.3;0;-60;120;-60;-3608;7283;-3649;-53.7212;104.615;-53.7212;0.692308;1.17949;0.333333;0.207128;-1.12826;0.0512821;856.851;895.091;90.8097;-0.475673;-4.51555;0.809723;
343.971;3.57746e-09;-0.3;0;-60;120;-60;-4238;8522;-4262;-56.5487;113.097;-53.7212;0.666667;0.717949;0.615385;0.0295897;-0.905795;-0.188034;856.18;890.616;91.0058;1.09094;-8.24168;0.196068;
374.017;3.57746e-09;-0.3;0;-60;120;-60;-4868;9829;-4888;-53.7212;107.442;-53.7212;0.589744;0.794872;0.641026;-0.0295897;-0.940026;-0.145299;856.18;886.365;92.4195;-0.329714;-7.80323;1.41371;
405.027;3.57746e-09;-0.3;0;-60;120;-60;-5179;10456;-5216;-56.5487;110.27;-62.2035;0.512821;0.769231;0.641026;-0.0739744;-0.897308;-0.128205;856.404;883.009;92.8223;-0.71492;-6.13825;0.402817;
435.95;3.57746e-09;-0.3;0;-60;120;-60;-5831;11773;-5847;-53.7212;121.58;-56.5487;0.333333;0.487179;0.410256;-0.0443846;-0.572564;-0.0854701;856.627;879.205;93.6264;-0.852984;-6.948;0.804085;
466.014;3.57746e-09;-0.3;0;-60;120;-60;-6469;13077;-6480;-56.5487;124.407;-53.7212;0.435897;0.794872;0.820513;-0.221923;-0.948564;-0.153846;855.732;874.73;93.6264;1.12384;-8.3091;-1.52588e-05;
497.973;3.57746e-09;-0.3;0;-60;120;-60;-6777;13705;-6779;-53.7212;113.097;-53.7212;0.564103;0.692308;0.74359;-0.103564;-0.897231;-0.205128;855.509;871.374;94.4298;-0.0656561;-6.17928;0.803406;
529.03;3.57746e-09;-0.3;0;-60;120;-60;-7413;15011;-7396;-56.5487;110.27;-53.7212;0.461538;0.615385;0.794872;-0.192333;-0.828846;-0.213675;855.285;868.465;94.8314;-0.0397274;-5.35955;0.401566;
558.986;3.57746e-09;-0.3;0;-60;120;-60;-8040;16282;-8031;-53.7212;110.27;-53.7212;0.487179;1.53846;0.564103;-0.0443846;-1.37623;0.162393;855.285;868.465;94.8314;0;0;0;
590.002;3.57746e-09;-0.3;0;-60;120;-60;-8653;17565;-8675;-53.7212;113.097;-62.2035;0.615385;1.10256;0.384615;0.133154;-1.06841;0.034188;854.837;865.333;95.2305;0.295564;-5.80605;0.399101;
622.01;3.57746e-09;-0.3;0;-60;120;-60;-8980;18194;-8975;-56.5487;115.925;-56.5487;0.615385;0.641026;0.820513;-0.118359;-0.905718;-0.264957;853.719;861.529;96.0725;1.30815;-7.16675;0.841995;
653.949;3.57746e-09;-0.3;0;-60;120;-60;-9619;19512;-9586;-56.5487;118.752;-53.7212;0.384615;0.487179;0.846154;-0.266308;-0.734795;-0.247863;852.824;856.83;97.0509;0.575156;-8.76926;0.978493;
683.939;3.57746e-09;-0.3;0;-60;120;-60;-10246;20774;-10218;-56.5487;110.27;-56.5487;0.615385;0.692308;0.666667;-0.0295897;-0.888692;-0.196581;852.824;853.698;97.8472;-0.785728;-5.70104;0.796219;
713.993;3.57746e-09;-0.3;0;-60;120;-60;-10577;21432;-10527;-59.3761;110.27;-53.7212;0.358974;0.974359;0.461538;-0.0591795;-0.923128;0.051282;852.6;851.013;98.0736;-0.285039;-4.94162;0.22644;
745.099;3.57746e-09;-0.3;0;-60;120;-60;-11194;22741;-11167;-53.7212;115.925;-56.5487;0.666667;0.487179;0.538462;0.0739743;-0.726256;-0.239316;852.824;847.432;98.6995;-1.40189;-6.43923;0.625908;
774.782;3.57746e-09;-0.3;0;-60;120;-60;-11825;23988;-11779;-50.8938;110.27;-50.8938;0.692308;0.820513;0.589744;0.0591795;-0.974205;-0.153846;851.929;843.629;99.33;0.49255;-7.16265;0.630508;
804.808;3.57746e-09;-0.3;0;-60;120;-60;-12152;24656;-12100;-53.7212;113.097;-53.7212;0.461538;0.846154;0.564103;-0.0591795;-0.905923;-0.0598291;851.705;840.273;100.124;-0.678474;-6.14238;0.794159;
836.067;3.57746e-09;-0.3;0;-60;120;-60;-12767;25910;-12740;-53.7212;104.615;-53.7212;0.692308;0.923077;0.461538;0.133154;-0.999923;-0.0769231;851.257;837.364;100.755;-0.188088;-5.40368;0.631126;
868.111;3.57746e-09;-0.3;0;-60;120;-60;-13392;27166;-13357;-56.5487;107.442;-53.7212;0.589744;1.17949;0.487179;0.0591795;-1.14533;0.034188;849.915;834.008;101.39;1.20456;-6.53242;0.63443;
899.108;3.57746e-09;-0.3;0;-60;120;-60;-14031;28458;-13994;-56.5487;110.27;-56.5487;0.487179;0.564103;0.435897;0.0295897;-0.683641;-0.119658;849.02;830.204;102.42;0.105486;-7.17896;1.03014;
930.1;3.57746e-09;-0.3;0;-60;120;-60;-14342;29090;-14304;-53.7212;113.097;-53.7212;0.333333;0.692308;0.435897;-0.0591795;-0.717923;-0.025641;848.125;826.847;103.055;0.211831;-6.37873;0.635368;
962.261;3.57746e-09;-0.3;0;-60;120;-60;-14985;30397;-14946;-59.3761;115.925;-59.3761;0.435897;0.487179;0.282051;0.0887692;-0.564026;-0.0769231;848.125;826.847;103.055;0;0;0;
992.097;3.57746e-09;-0.3;0;-60;120;-60;-15628;31690;-15591;-56.5487;115.925;-53.7212;0.512821;0.871795;0.512821;0;-0.923026;-0.0512821;847.006;823.044;103.449;0.377157;-7.27539;0.393974;
1022.11;3.57746e-09;-0.3;0;-60;120;-60;-15936;32316;-15905;-56.5487;115.925;-59.3761;0.410256;1.02564;0.435897;-0.0147949;-0.965872;0.0598291;846.335;819.016;104.085;-0.602313;-7.47733;0.635406;
1053.1;3.57746e-09;-0.3;0;-60;120;-60;-16591;33645;-16552;-59.3761;115.925;-53.7212;0.307692;0.25641;0.461538;-0.0887692;-0.42718;-0.17094;845.664;814.765;104.085;-0.702376;-7.87615;-1.52588e-05;
1085.08;3.57746e-09;-0.3;0;-60;120;-60;-17216;34969;-17207;-56.5487;113.097;-59.3761;0.307692;0.435897;0.564103;-0.147949;-0.581051;-0.145299;844.769;810.29;104.085;-0.40293;-8.37487;3.05176e-05;
1116.08;3.57746e-09;-0.3;0;-60;120;-60;-17552;35599;-17517;-53.7212;107.442;-56.5487;0.307692;0.641026;0.384615;-0.0443846;-0.658103;-0.017094;844.097;806.934;105.361;-0.442103;-6.2731;1.27637;
1148.02;3.57746e-09;-0.3;0;-60;120;-60;-18172;36885;-18155;-56.5487;107.442;-56.5487;0.589744;0.820513;0.358974;0.133154;-0.863205;-0.0427351;842.979;803.578;105.361;0.352052;-6.49104;-7.62939e-06;
1179;3.57746e-09;-0.3;0;-60;120;-60;-18172;36885;-18155;-56.5487;107.442;-56.5487;0.589744;0.820513;0.358974;0.133154;-0.863205;-0.0427351;841.86;800.669;106.139;0.492527;-5.70561;0.777641;
1211.18;3.57746e-09;-0.3;0;-60;120;-60;-19402;39396;-19409;-50.8938;113.097;-56.5487;0.487179;0.666667;0.564103;-0.0443846;-0.794744;-0.128205;840.965;796.865;106.39;-0.391616;-7.16896;0.2509;
1241.05;3.57746e-09;-0.3;0;-60;120;-60;-19708;40064;-19734;-56.5487;113.097;-53.7212;0.512821;0.820513;0.666667;-0.0887692;-0.940051;-0.119658;839.175;792.838;107.282;0.94763;-8.04379;0.892769;
1271.03;3.57746e-09;-0.3;0;-60;120;-60;-20356;41334;-20328;-53.7212;113.097;-53.7212;0.384615;0.538462;0.74359;-0.207128;-0.734846;-0.196581;837.832;788.81;108.053;0.056241;-7.80068;0.77066;
1302.07;3.57746e-09;-0.3;0;-60;120;-60;-21012;42640;-20971;-59.3761;118.752;-56.5487;0.358974;0.333333;0.384615;-0.0147949;-0.469949;-0.136752;836.714;785.677;108.308;0.147005;-6.11039;0.254623;
1332.48;3.57746e-09;-0.3;0;-60;120;-60;-21318;43291;-21299;-50.8938;113.097;-50.8938;0.512821;0.384615;0.487179;0.0147949;-0.589538;-0.205128;836.49;782.545;108.946;-1.479;-5.57674;0.638901;
1363.35;3.57746e-09;-0.3;0;-60;120;-60;-21938;44573;-21904;-50.8938;110.27;-53.7212;0.666667;1.07692;0.666667;0;-1.16231;-0.0854701;836.49;782.545;108.946;0;0;0;
1395.08;3.57746e-09;-0.3;0;-60;120;-60;-22563;45867;-22539;-56.5487;110.27;-53.7212;0.538462;0.666667;0.461538;0.0443846;-0.777667;-0.111111;835.595;779.189;110.105;-0.572683;-6.35661;1.15855;
1427.06;3.57746e-09;-0.3;0;-60;120;-60;-23184;47174;-23183;-53.7212;110.27;-56.5487;0.589744;0.666667;0.692308;-0.0591795;-0.87159;-0.205128;834.253;775.832;110.746;0.126284;-6.64137;0.641052;
1458.05;3.57746e-09;-0.3;0;-60;120;-60;-23491;47801;-23492;-53.7212;113.097;-53.7212;0.589744;0.717949;0.435897;0.0887693;-0.82041;-0.102564;832.686;772.476;111.126;0.466703;-6.79035;0.379623;
1489.12;3.57746e-09;-0.3;0;-60;120;-60;-24133;49082;-24140;-56.5487;113.097;-59.3761;0.487179;0.692308;0.358974;0.0739744;-0.743538;-0.051282;830.672;769.568;110.746;1.57301;-6.31034;-0.379639;
1520.09;3.57746e-09;-0.3;0;-60;120;-60;-24748;50378;-24791;-53.7212;110.27;-56.5487;0.615385;0.666667;0.230769;0.221923;-0.726436;-0.0598291;829.33;766.659;112.291;0.259073;-5.8818;1.54514;
1552.07;3.57746e-09;-0.3;0;-60;120;-60;-25073;51007;-25107;-53.7212;113.097;-56.5487;0.589744;0.974359;0.282051;0.177538;-0.940205;0.034188;827.764;763.302;113.199;0.220682;-6.8029;0.90789;
