Time;Set robot speed along X axis;Set robot speed along Y axis;Set rotational robot velocity;1st motor set speed;2st motor set speed;3st motor set speed;1st motor position;2nd motor position;3rd motor position;1st motor velocity;2nd motor velocity;3rd motor velocity;1st motor current;2nd motor current;3rd motor current;X axis current;Y axis curent;Rotational current;X axis global position;Y axis global position;Angle;Delta X axis local position;Delta Y axis local position;Delta angle;
ms;m/s;m/s;rad/s;rad/s;rad/s;rad/s;ticks;ticks;ticks;rad/s;rad/s;rad/s;A;A;A;A;A;A;pix;pix;deg;mm;mm;deg;
t;xsetspeed;ysetspeed;setvel;m1setvel;m2setvel;m3setvel;m1pos;m2pos;m3pos;m1vel;m2vel;m3vel;m1cur;m2cur;m3cur;xcur;ycur;rotcur;xpos;ypos;ang;dx;dy;dang;
0.0117;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;1;1;0;0;0;0;0.025641;0.025641;0.025641;0;0;0;1163.61;932.234;152.611;0;0;0;
31.3068;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;1;1;0;0;0;0;0.025641;0.025641;0.025641;0;0;0;1163.61;932.234;152.611;0;0;0;
63.3899;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;1;1;0;0;0;0;0.025641;0.025641;0.025641;0;0;0;1163.61;932.234;152.611;0;0;0;
94.4053;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;1;1;0;0;0;0;0.025641;0.025641;0.025641;0;0;0;1163.61;932.234;152.611;0;0;0;
125.667;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;1;1;0;0;0;0;0;0;0;0;0;0;1163.61;932.234;152.611;0;0;0;
156.874;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;179;113;-309;16.9646;8.4823;-28.2743;0.948718;0.717949;1.74359;-1.55346;-0.743564;-0.025641;1163.61;932.234;152.611;0;0;0;
188.634;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;275;169;-474;14.1372;8.4823;-28.2743;0.923077;0.641026;1.61538;-1.46469;-0.658103;-0.017094;1163.61;931.562;152.696;-1.09582;-0.565701;0.0841827;
220.642;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;463;277;-791;16.9646;11.3097;-22.6195;0.923077;0.589744;1.79487;-1.56826;-0.683667;-0.0940171;1163.61;930.891;152.418;-1.09307;-0.571001;-0.277435;
252.832;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;643;381;-1103;16.9646;8.4823;-28.2743;0.897436;0.538462;1.53846;-1.40551;-0.572615;-0.034188;1163.61;930.444;152.611;-0.729992;-0.378207;0.193253;
284.644;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;821;485;-1415;14.1372;8.4823;-31.1018;0.974359;0.717949;1.48718;-1.42031;-0.649641;0.0683761;1163.61;930.444;152.611;0;0;0;
316.655;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;908;534;-1564;14.1372;8.4823;-25.4469;0.974359;0.538462;2.02564;-1.731;-0.709231;-0.17094;1163.61;930.22;153.617;-0.36826;-0.182666;1.00597;
347.6;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;1082;640;-1861;16.9646;8.4823;-25.4469;1.12821;0.615385;1.87179;-1.731;-0.658077;-0.042735;1163.84;929.996;153.619;-0.55115;0.186065;0.00119019;
377.882;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;1254;742;-2159;14.1372;8.4823;-28.2743;1.23077;0.74359;1.5641;-1.61264;-0.606974;0.136752;1163.84;929.549;153.252;-0.734174;-0.370023;-0.366699;
407.879;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;1410;843;-2449;14.1372;8.4823;-25.4469;0.974359;0.641026;1.89744;-1.65703;-0.734949;-0.0940171;1163.61;929.325;153.617;-0.185365;-0.551386;0.365494;
437.805;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;1498;896;-2586;14.1372;11.3097;-22.6195;1.28205;0.666667;1.94872;-1.86415;-0.666667;3.97364e-08;1163.84;928.43;153.892;-1.65765;-0.354;0.274796;
467.989;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;1655;1003;-2873;14.1372;11.3097;-22.6195;0.948718;0.717949;1.94872;-1.67182;-0.811872;-0.0940171;1163.84;928.43;153.892;0;0;0;
498.675;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;1737;1056;-3017;14.1372;8.4823;-22.6195;1.33333;0.487179;2.30769;-2.10087;-0.64941;-0.162393;1163.39;927.759;153.988;-0.746983;-1.28099;0.0954285;
530.908;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;1895;1168;-3319;16.9646;11.3097;-25.4469;1.10256;0.641026;1.87179;-1.71621;-0.683718;-0.042735;1163.84;927.088;153.892;-1.46974;0.196948;-0.0952454;
561.906;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;2054;1275;-3619;14.1372;8.4823;-25.4469;1.41026;0.487179;1.61538;-1.74579;-0.393256;0.0940171;1163.84;926.193;153.892;-1.47653;-0.723588;0;
592.827;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;2215;1388;-3919;16.9646;8.4823;-28.2743;1.33333;0.538462;1.48718;-1.62744;-0.410385;0.128205;1164.06;925.745;153.617;-0.919613;0.00378856;-0.275024;
624.651;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;2294;1451;-4076;11.3097;8.4823;-25.4469;1.30769;0.538462;1.87179;-1.83456;-0.547;-0.00854699;1164.06;924.85;153.617;-1.47304;-0.730667;-1.52588e-05;
656.833;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;2463;1564;-4407;16.9646;11.3097;-31.1018;1.07692;0.487179;1.35897;-1.40551;-0.418872;0.0683761;1164.06;923.508;153.617;-2.20946;-1.09595;9.15527e-05;
688.662;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;2629;1691;-4739;14.1372;11.3097;-31.1018;1.05128;0.461538;1.58974;-1.52387;-0.487154;-0.025641;1164.06;922.836;153.342;-1.10213;-0.553305;-0.275513;
720.646;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;2803;1811;-5080;14.1372;8.4823;-28.2743;1.12821;0.358974;1.25641;-1.37592;-0.282128;0.0769231;1164.06;921.717;153.617;-1.8413;-0.913331;0.275513;
752.976;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;2892;1873;-5254;14.1372;11.3097;-31.1018;0.820513;0.358974;1.48718;-1.33154;-0.461436;-0.102564;1164.06;920.823;153.617;-1.47294;-0.730615;0;
782.787;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;3075;1993;-5600;16.9646;11.3097;-31.1018;1;0.538462;1.30769;-1.33154;-0.461615;0.0769231;1164.28;919.704;153.252;-2.02068;-0.557513;-0.365524;
812.633;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;3264;2107;-5960;14.1372;8.4823;-33.9292;0.897436;0.435897;1.33333;-1.28715;-0.435897;0;1164.06;918.585;152.7;-1.63757;-1.30838;-0.551468;
844.121;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;3355;2165;-6131;16.9646;11.3097;-31.1018;0.74359;0.564103;1.02564;-1.02085;-0.47018;0.0940171;1164.06;917.466;153.342;-1.83679;-0.922124;0.641479;
875.351;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;3551;2273;-6494;16.9646;11.3097;-31.1018;0.974359;0.564103;1.30769;-1.31674;-0.487256;0.0769231;1164.06;917.466;153.342;0;0;0;
907.516;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;3736;2390;-6852;16.9646;8.4823;-28.2743;1.10256;0.435897;1.15385;-1.30195;-0.30782;0.128205;1164.06;916.124;153.342;-2.20426;-1.10661;0;
938.206;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;3924;2501;-7201;16.9646;11.3097;-31.1018;0.871795;0.538462;1.23077;-1.21318;-0.478692;0.059829;1164.28;915.229;153.252;-1.65359;-0.372502;-0.0900116;
968.868;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;4021;2560;-7383;16.9646;11.3097;-31.1018;1.15385;0.564103;1.12821;-1.31674;-0.367718;0.196581;1164.06;914.557;153.617;-0.921885;-0.916718;0.365524;
998.785;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;4202;2676;-7734;16.9646;11.3097;-31.1018;0.897436;0.615385;1.35897;-1.30195;-0.564154;0.051282;1164.51;913.439;152.611;-2.20377;-0.214164;-1.00598;
1029.74;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;4389;2789;-8067;16.9646;8.4823;-28.2743;0.769231;0.435897;1.35897;-1.22797;-0.487128;-0.051282;1164.28;912.32;152.977;-1.64377;-1.30091;0.365585;
1061.76;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;4484;2851;-8248;14.1372;11.3097;-28.2743;0.923077;0.487179;1.46154;-1.37592;-0.504256;-0.017094;1164.51;911.649;152.611;-1.28453;-0.20146;-0.365616;
1092.78;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;4666;2973;-8579;16.9646;8.4823;-28.2743;0.846154;0.487179;1.35897;-1.27236;-0.495718;-0.00854699;1164.28;910.53;152.977;-1.64367;-1.30085;0.365646;
1140.58;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;4851;3098;-8926;16.9646;11.3097;-31.1018;0.769231;0.333333;1.28205;-1.18359;-0.393103;-0.0598291;1164.06;909.859;153.342;-0.917466;-0.921141;0.364853;
1171.91;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;5039;3222;-9270;16.9646;8.4823;-33.9292;1;0.435897;1.48718;-1.4351;-0.452974;-0.017094;1164.51;908.964;152.611;-1.83887;-0.0251125;-0.730499;
1201.9;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;5133;3283;-9441;16.9646;11.3097;-31.1018;0.717949;0.358974;1.35897;-1.19838;-0.452897;-0.0940171;1164.73;908.069;152.336;-1.64742;-0.398899;-0.275833;
1232.84;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;5329;3414;-9805;16.9646;11.3097;-31.1018;0.74359;0.333333;1.28205;-1.16879;-0.401641;-0.0683761;1164.51;906.726;152.611;-2.00064;-1.50007;0.275833;
1264.32;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;5522;3541;-10168;14.1372;11.3097;-31.1018;0.897436;0.410256;0.948718;-1.06523;-0.290718;0.119658;1164.51;905.608;152.696;-1.82617;-0.942731;0.0842285;
1296.25;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;5619;3605;-10343;16.9646;14.1372;-31.1018;0.74359;0.358974;1.10256;-1.06523;-0.358974;0;1164.28;904.936;152.336;-0.900938;-0.93751;-0.360077;
1328.26;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;5811;3729;-10703;16.9646;11.3097;-33.9292;0.769231;0.589744;1.12821;-1.09482;-0.512897;0.0769231;1164.28;904.265;152.059;-1.08947;-0.577843;-0.276627;
1360.26;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;6002;3844;-11065;16.9646;8.4823;-31.1018;0.974359;0.410256;1.12821;-1.21318;-0.324872;0.0854701;1164.28;903.146;152.336;-1.82041;-0.954293;0.276627;
1391.24;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;6203;3972;-11435;16.9646;11.3097;-33.9292;0.846154;0.564103;1;-1.06523;-0.427487;0.136752;1164.51;901.804;151.7;-2.36689;-0.806486;-0.635941;
1421.24;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;6394;4095;-11798;16.9646;11.3097;-28.2743;0.692308;0.461538;1.20513;-1.09482;-0.478615;-0.017094;1164.73;900.909;152.336;-1.64742;-0.398899;0.635925;
1451.28;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;6491;4158;-11975;16.9646;8.4823;-31.1018;0.897436;0.410256;1.25641;-1.24277;-0.393179;0.017094;1164.73;900.014;152.336;-1.45632;-0.763435;0;
1482.3;-0.0906308;-0.0422618;0;22.9431;16.9047;-39.8478;6684;4282;-12334;16.9646;11.3097;-33.9292;0.897436;0.230769;1.25641;-1.24277;-0.273462;-0.042735;1164.73;899.119;152.336;-1.45623;-0.763383;1.52588e-05;
