Time;1st motor set speed;2nd motor set speed;3rd motor set speed;1st motor position;2nd motor position;3rd motor position;1st motor velocity;2nd motor velocity;3rd motor velocity;1st motor current;2nd motor current;3rd motor current;
ms;rad/s;rad/s;rad/s;ticks;ticks;ticks;rad/s;rad/s;rad/s;A;A;A;
t;m1setvel;m2setvel;m3setvel;m1pos;m2pos;m3pos;m1vel;m2vel;m3vel;m1cur;m2cur;m3cur;
0.0005;25;25;25;0;0;0;0;0;0;0;0;0;
26.5997;25;25;25;0;0;0;0;0;0;0;0;0;
57.7222;25;25;25;0;0;0;0;0;0;0;0;0;
88.2368;25;25;25;0;0;0;0;0;0;0;0;0;
119.302;25;25;25;0;0;0;0;0;0;0;0;0;
150.219;25;25;25;0;0;0;19.792;16.9646;19.792;0.230769;0.282051;0.153846;
180.709;25;25;25;0;0;0;16.9646;14.1372;19.792;0.25641;0.358974;0.179487;
211.406;25;25;25;0;0;0;16.9646;19.792;16.9646;0.25641;0.282051;0.487179;
242.809;25;25;25;0;0;0;19.792;16.9646;16.9646;0.205128;0.282051;0.153846;
273.255;25;25;25;0;6;0;16.9646;16.9646;22.6195;0.179487;0.307692;0.153846;
303.903;25;25;25;0;0;0;19.792;19.792;19.792;0.153846;0.25641;0.205128;
334.762;25;25;25;0;0;0;22.6195;19.792;16.9646;0.128205;0.153846;0.282051;
365.692;25;25;25;0;0;0;19.792;19.792;19.792;0.179487;0.230769;0.205128;
396.813;25;25;25;0;0;0;19.792;16.9646;19.792;0.205128;0.205128;0.153846;
427.134;25;25;25;0;0;0;16.9646;19.792;19.792;0.179487;0.179487;0.282051;
457.942;25;25;25;0;0;0;19.792;19.792;16.9646;0.153846;0.205128;0.307692;
488.869;25;25;25;0;0;0;19.792;16.9646;16.9646;0.153846;0.128205;0.153846;
519.337;25;25;25;0;0;0;19.792;22.6195;16.9646;0.358974;0.128205;0.128205;
549.653;25;25;25;0;0;0;16.9646;19.792;16.9646;0.153846;0.25641;0.282051;
580.278;25;25;25;0;0;0;19.792;16.9646;16.9646;0.102564;0.153846;0.205128;
611.284;25;25;25;0;0;0;19.792;19.792;19.792;0.230769;0.230769;0.102564;
642.068;25;25;25;0;0;0;19.792;19.792;22.6195;0.230769;0.025641;0.102564;
673.269;25;25;25;6;0;0;16.9646;22.6195;19.792;0.230769;0.025641;0.128205;
703.424;25;25;25;0;0;0;16.9646;16.9646;19.792;0.179487;0.0512821;0.179487;
733.379;25;25;25;0;0;0;16.9646;19.792;22.6195;0.205128;0.179487;0.128205;
764.622;25;25;25;0;6;0;19.792;16.9646;19.792;0.25641;0.205128;0.153846;
795.295;25;25;25;0;0;0;16.9646;19.792;19.792;0.307692;0.128205;0.102564;
826.415;25;25;25;0;0;0;19.792;19.792;16.9646;0.179487;0.179487;0.230769;
856.712;25;25;25;0;0;0;16.9646;16.9646;22.6195;0.205128;0.153846;0.153846;
887.303;25;25;25;0;0;0;19.792;16.9646;19.792;0.307692;0.282051;0.102564;
919.379;25;25;25;0;0;0;19.792;19.792;19.792;0.230769;0.205128;0.25641;
949.705;25;25;25;0;0;0;19.792;19.792;16.9646;0.205128;0.205128;0.282051;
980.275;25;25;25;0;0;0;22.6195;19.792;19.792;0.153846;0.153846;0.179487;
1010.99;25;25;25;0;0;0;19.792;22.6195;19.792;0.0769231;0.153846;0.128205;
1041.28;25;25;25;0;0;0;16.9646;19.792;19.792;0.153846;0.102564;0.153846;
1071.75;25;25;25;0;0;0;19.792;19.792;16.9646;0.0769231;0.128205;0.205128;
1102.67;25;25;25;0;0;0;16.9646;19.792;19.792;0.153846;0.25641;0.102564;
1133.83;25;25;25;0;0;0;19.792;16.9646;16.9646;0.153846;0.179487;0.128205;
1164.84;25;25;25;0;0;0;19.792;16.9646;16.9646;0.102564;0.102564;0.153846;
1194.96;25;25;25;0;0;7;19.792;22.6195;19.792;0.179487;0.128205;0.179487;
1225.41;25;25;25;0;0;0;16.9646;19.792;22.6195;0.307692;0.205128;0.0769231;
1256.34;25;25;25;0;0;0;19.792;16.9646;22.6195;0.153846;0.179487;0.25641;
1286.41;25;25;25;0;0;0;19.792;19.792;19.792;0.0769231;0.128205;0.205128;
1318.04;25;25;25;7;0;0;19.792;19.792;16.9646;0.25641;0.102564;0.205128;
1349.47;25;25;25;0;0;0;16.9646;19.792;22.6195;0.307692;0.102564;0.0769231;
1381.44;25;25;25;0;0;0;19.792;19.792;16.9646;0.230769;0.205128;0.205128;
1412.73;25;25;25;0;8;0;19.792;22.6195;19.792;0.153846;0.179487;0.307692;
1442.77;25;25;25;0;0;0;19.792;19.792;16.9646;0.230769;0.128205;0.307692;
1472.72;25;25;25;0;0;0;19.792;19.792;16.9646;0.205128;0.205128;0.153846;
1502.75;25;25;25;0;0;0;16.9646;16.9646;19.792;0.205128;0.0512821;0.153846;
1533.76;25;25;25;0;0;0;19.792;19.792;19.792;0.230769;0.0769231;0.230769;
1564.75;25;25;25;0;0;0;19.792;19.792;19.792;0.128205;0.25641;0.307692;
1596.75;25;25;25;0;0;0;22.6195;16.9646;19.792;0.0769231;0.25641;0.179487;
1628.76;25;25;25;0;0;0;22.6195;19.792;19.792;0.102564;0.230769;0.205128;
1658.69;25;25;25;0;0;0;16.9646;19.792;19.792;0.153846;0.153846;0.230769;
1689.76;25;25;25;0;0;0;19.792;19.792;16.9646;0.102564;0.102564;0.307692;
1719.7;25;25;25;0;0;0;19.792;14.1372;19.792;0.128205;0.128205;0.153846;
